1997-09-30,98.87
1997-12-31,66.66
1998-03-31,57.95
1998-06-30,35.89
1998-09-30,19.36
1998-12-31,18.53
1999-03-31,42.33
1999-06-30,76.29
1999-09-30,83.33
1999-12-31,88.74
2000-03-31,173.0
2000-06-30,189.57
2000-09-30,188.37
2000-12-31,130.96
2001-03-31,135.73
2001-06-30,156.29
2001-09-30,165.44
2001-12-31,158.34
2002-03-31,246.79
2002-06-30,290.47
2002-09-30,269.55
2002-12-31,288.83
2003-03-31,302.6514
2003-06-30,326.9442
2003-09-30,391.93
2003-12-31,429.26
2004-03-31,523.81
2004-06-30,507.07
2004-09-30,467.72
2004-12-31,495.24
2005-03-31,534.6
2005-06-30,564.43
2005-09-30,649.08
2005-12-31,786.56
2006-03-31,1064.91
2006-06-30,1082.25
2006-09-30,1255.48
2006-12-31,1334.56
2007-03-31,1538.98
2007-06-30,1516.09
2007-09-30,1599.39
2007-12-31,1733.39
2008-03-31,1568.88
2008-06-30,1631.2
2008-09-30,853.93
2008-12-31,513.62
2009-03-31,553.62
2009-06-30,787.22
2009-09-30,871.33
2009-12-31,1175.83
2010-03-31,1304.86
2010-06-30,1197.39
2010-09-30,1254.65
2010-12-31,1455.63
2011-03-31,1676.77
2011-06-30,1573.14
2011-09-30,1327.19
2011-12-31,1265.67
2012-03-31,1434.91
2012-06-30,1256.55
2012-09-30,1365.75
2012-12-31,1372.19
2013-03-31,1417.0
2013-06-30,1281.89
2013-09-30,1333.35
2013-12-31,1429.25
2014-03-31,1237.43
2014-06-30,1280.12
2014-09-30,1333.53
2014-12-31,1360.33
2015-03-31,1435.66
2015-06-30,1609.19
2015-09-30,1584.92
2015-12-31,1612.56
2016-03-31,1608.36
2016-06-30,1856.77
